epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0236,0.59855,1.55112,1.15065,0.22223,0.75782,0.22825,0.08164,2.31633,2.98348,6.96895,0.0793,0.0023,0.0023
2,27.5526,0.58204,0.95838,1.1473,0.03974,0.67391,0.03865,0.00583,4.39084,inf,1061.42,0.0576535,0.00465347,0.00465347
3,32.8092,0.60829,0.81758,1.15475,0.07812,0.32609,0.05253,0.00525,nan,nan,nan,0.0359594,0.00695942,0.00695942
4,37.9496,0.5026,0.69139,1.07109,0.07812,0.32609,0.05253,0.00525,nan,nan,nan,0.0142179,0.00921785,0.00921785
5,43.0718,0.53846,0.6676,1.12275,0.06089,0.06522,0.02475,0.00507,3.70852,4.71381,5.86157,0.009604,0.009604,0.009604
6,48.1673,0.45478,0.57297,1.05352,0.43731,0.84783,0.70046,0.22283,2.10029,7.76861,3.65697,0.009505,0.009505,0.009505
7,53.3012,0.43525,0.5634,1.04801,0.34325,0.5,0.35928,0.06276,3.56001,6.53638,5.67214,0.009406,0.009406,0.009406
8,58.4171,0.37793,0.5614,1.00463,0.02342,0.19565,0.01591,0.00286,4.38993,54.6056,7.29477,0.009307,0.009307,0.009307
9,63.5408,0.37076,0.48748,0.99492,0.11355,0.17391,0.07032,0.0115,3.7512,12.7321,4.75646,0.009208,0.009208,0.009208
10,68.654,0.33786,0.52712,0.96628,0.08505,0.36957,0.06578,0.01481,3.29197,14.2307,3.90562,0.009109,0.009109,0.009109
11,73.8082,0.35009,0.44007,0.97572,0.47528,0.58696,0.43186,0.10428,2.25837,4.47687,3.04686,0.00901,0.00901,0.00901
12,78.9661,0.35173,0.44382,1.01463,0.52669,0.89512,0.56383,0.42998,0.92841,2.64842,1.4634,0.008911,0.008911,0.008911
13,84.1085,0.29414,0.37159,0.96073,0.55628,0.92669,0.64711,0.30991,1.21593,2.99101,1.45214,0.008812,0.008812,0.008812
14,89.2341,0.28778,0.37519,0.96964,0.73894,0.78261,0.88396,0.80144,0.44938,1.54076,0.85221,0.008713,0.008713,0.008713
15,94.3583,0.3036,0.35606,0.9579,0.51425,0.80435,0.53846,0.16846,1.7352,4.17721,2.16814,0.008614,0.008614,0.008614
16,99.5114,0.28284,0.33213,0.94079,0.83548,1,0.995,0.995,0.46363,1.07806,0.87494,0.008515,0.008515,0.008515
17,104.622,0.30147,0.37604,0.96684,0.9772,0.93195,0.98399,0.96834,0.51649,1.53258,0.85495,0.008416,0.008416,0.008416
18,109.727,0.29711,0.34416,0.9499,0.89593,0.93575,0.96223,0.56041,1.14658,2.66335,1.37575,0.008317,0.008317,0.008317
19,114.864,0.28569,0.36201,0.94272,0.82053,1,0.88888,0.36439,1.57532,2.26618,1.76634,0.008218,0.008218,0.008218
20,120.053,0.24576,0.30264,0.90675,0.96766,1,0.99457,0.87983,0.52666,0.40427,0.96668,0.008119,0.008119,0.008119
21,125.266,0.23704,0.28675,0.92923,0.86374,1,0.99207,0.87225,0.44231,0.55135,0.85501,0.00802,0.00802,0.00802
22,130.473,0.21618,0.27022,0.91362,0.77304,1,0.97502,0.7017,0.56031,2.10574,0.74151,0.007921,0.007921,0.007921
23,135.65,0.20518,0.25559,0.92756,0.88924,1,0.92172,0.78896,0.38734,0.70963,0.7319,0.007822,0.007822,0.007822
24,140.808,0.19532,0.24023,0.90223,0.95213,1,0.99415,0.98289,0.34714,0.72045,0.74381,0.007723,0.007723,0.007723
25,145.936,0.20893,0.25608,0.91483,0.91437,1,0.99287,0.98556,0.43313,0.84646,0.89197,0.007624,0.007624,0.007624
26,151.106,0.33652,0.44662,1.02832,0.80502,1,0.96967,0.96286,0.22749,0.71501,0.62948,0.007525,0.007525,0.007525
27,156.24,0.19252,0.24088,0.903,0.7885,1,0.99255,0.99255,0.29117,1.03152,0.68954,0.007426,0.007426,0.007426
28,161.358,0.20056,0.24756,0.89248,0.98958,1,0.995,0.99152,0.40798,0.77674,0.84136,0.007327,0.007327,0.007327
29,166.53,0.1942,0.21978,0.88727,0.97925,1,0.995,0.99012,0.28535,1.12008,0.6427,0.007228,0.007228,0.007228
30,171.689,0.18012,0.22385,0.88533,0.9745,1,0.995,0.92658,0.27711,0.37174,0.64975,0.007129,0.007129,0.007129
31,176.866,0.19066,0.24806,0.89676,0.92155,0.97826,0.9584,0.88885,0.52103,0.6974,0.91982,0.00703,0.00703,0.00703
32,182.024,0.19593,0.23998,0.90681,0.92461,1,0.995,0.995,0.26741,1.15524,0.66025,0.006931,0.006931,0.006931
