epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3737,0.59989,1.55067,1.16069,0.3817,0.56522,0.39106,0.12568,1.85347,2.66033,2.94334,0.0793,0.0023,0.0023
2,26.5963,0.5195,0.88705,1.10047,0.00504,0.34783,0.00356,0.00097,4.15495,125.149,55.2255,0.0576535,0.00465347,0.00465347
3,31.6266,0.55077,0.75709,1.11439,0.03319,0.58696,0.03905,0.00657,4.12604,92.8479,251.215,0.0359594,0.00695942,0.00695942
4,36.7129,0.51292,0.66501,1.08485,0.21091,0.28261,0.12436,0.03361,nan,nan,nan,0.0142179,0.00921785,0.00921785
5,41.7339,0.5199,0.62047,1.08251,0.0015,0.02174,0.00092,0.00028,3.70504,4.59684,15.654,0.009604,0.009604,0.009604
6,46.7891,0.38872,0.51614,1.01133,0.06572,0.1087,0.03041,0.00631,3.9435,5.07437,4.48611,0.009505,0.009505,0.009505
7,51.8758,0.43268,0.55098,1.06406,0.25455,0.58696,0.26071,0.0853,2.36923,6.75425,3.36426,0.009406,0.009406,0.009406
8,56.8891,0.37295,0.46129,0.97985,0.64137,0.97203,0.8895,0.61976,1.02722,2.64738,2.00203,0.009307,0.009307,0.009307
9,61.9227,0.36219,0.4369,0.97408,0.39569,0.71739,0.37076,0.21767,1.13684,2.41012,1.50804,0.009208,0.009208,0.009208
10,66.9721,0.34983,0.46502,0.97067,0.44766,0.56522,0.50054,0.10851,3.30998,5.22411,3.88246,0.009109,0.009109,0.009109
11,71.9296,0.34771,0.41074,0.97579,0.47447,0.76087,0.67719,0.44088,1.86423,4.15789,2.55927,0.00901,0.00901,0.00901
12,76.9317,0.43119,0.4888,1.11307,0.64623,0.91334,0.85929,0.52253,1.25307,2.42571,1.72026,0.008911,0.008911,0.008911
13,81.9463,0.3163,0.37398,0.9716,0.97215,1,0.995,0.93992,0.46086,0.58127,0.91896,0.008812,0.008812,0.008812
14,87.0079,0.31015,0.38385,0.96432,0.86594,1,0.98815,0.96132,0.40001,0.81563,0.74555,0.008713,0.008713,0.008713
15,92.0243,0.30178,0.35978,0.94979,0.5818,1,0.97078,0.88915,0.42922,1.96981,0.74507,0.008614,0.008614,0.008614
16,96.9757,0.27047,0.32703,0.92401,0.93803,1,0.995,0.99314,0.27326,1.04235,0.62183,0.008515,0.008515,0.008515
17,101.972,0.3288,0.36944,1.03731,0.92648,1,0.9925,0.9657,0.72787,1.13021,1.4774,0.008416,0.008416,0.008416
18,106.971,0.26275,0.31309,0.92262,0.70822,1,0.98509,0.83424,0.64265,1.47355,1.1771,0.008317,0.008317,0.008317
19,111.92,0.24835,0.30878,0.93881,0.74681,0.93478,0.95941,0.88532,0.56355,1.07122,0.94572,0.008218,0.008218,0.008218
20,116.873,0.25851,0.316,0.9333,0.95947,1,0.995,0.96806,0.52868,1.1024,0.94321,0.008119,0.008119,0.008119
21,121.886,0.27304,0.33393,0.99172,0.66102,0.8913,0.79139,0.46603,1.8398,1.91273,3.12821,0.00802,0.00802,0.00802
22,126.849,0.24638,0.29103,0.93913,0.79857,0.95652,0.95117,0.90443,0.99742,1.94149,1.58936,0.007921,0.007921,0.007921
23,131.839,0.22281,0.2759,0.92567,0.94931,0.93478,0.9754,0.88005,0.53041,1.26266,0.98631,0.007822,0.007822,0.007822
24,136.771,0.21665,0.26025,0.91257,0.82774,0.95652,0.95005,0.93321,0.38588,1.18377,0.74092,0.007723,0.007723,0.007723
25,141.751,0.22556,0.2723,0.9192,0.99865,1,0.995,0.995,0.27226,0.30022,0.65703,0.007624,0.007624,0.007624
26,146.721,0.20714,0.25068,0.89173,0.93343,1,0.995,0.89018,0.59916,1.15566,1.16473,0.007525,0.007525,0.007525
27,151.716,0.19311,0.21103,0.90457,0.87861,0.93478,0.97172,0.93664,0.3622,1.26647,0.78699,0.007426,0.007426,0.007426
