epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2486,2.13976,2.70478,2.20332,0.01758,0.06116,0.00772,0.00196,3.28615,inf,5.01051,0.0701863,0.00331263,0.00331263
2,84.5552,2.17129,2.69532,2.24433,0.01825,0.03705,0.00693,0.00208,2.80629,6.76377,3.24791,0.0401205,0.00658017,0.00658017
3,123.016,2.17234,2.69603,2.23963,0.08323,0.13393,0.03106,0.00802,2.88273,5.03356,3.20084,0.00998875,0.00978171,0.00978171
4,160.494,2.11,2.61492,2.19707,0.12382,0.10625,0.04293,0.01501,2.61582,4.04905,3.0246,0.009703,0.009703,0.009703
5,198.235,2.06961,2.56089,2.13306,0.18616,0.12187,0.07611,0.02667,2.59616,3.30561,2.90466,0.009604,0.009604,0.009604
6,235.812,2.03818,2.5415,2.11489,0.20531,0.20134,0.11857,0.03806,2.4161,3.05962,2.49909,0.009505,0.009505,0.009505
7,273.312,1.99997,2.49447,2.07076,0.25247,0.20312,0.14332,0.05337,2.26074,2.81592,2.42502,0.009406,0.009406,0.009406
8,310.553,1.99333,2.45188,2.05793,0.30987,0.21607,0.16666,0.05762,2.27419,2.69655,2.40106,0.009307,0.009307,0.009307
9,348.921,1.94166,2.4203,2.02992,0.30803,0.24196,0.18179,0.0636,2.29322,3.39598,2.3115,0.009208,0.009208,0.009208
10,386.142,1.97172,2.44795,2.04634,0.26523,0.2067,0.1398,0.04639,2.33178,2.73938,2.48684,0.009109,0.009109,0.009109
11,423.463,1.93013,2.38946,2.0126,0.27145,0.2317,0.15666,0.05365,2.24589,2.74793,2.34219,0.00901,0.00901,0.00901
12,460.671,1.91954,2.3663,2.00225,0.32663,0.2183,0.17814,0.07112,2.22427,2.56679,2.30786,0.008911,0.008911,0.008911
13,497.835,1.91565,2.35954,1.99904,0.23464,0.20804,0.13122,0.05688,2.20354,2.83396,2.40745,0.008812,0.008812,0.008812
14,535.161,1.89707,2.32846,1.98493,0.30512,0.22946,0.17897,0.07291,2.19565,2.70609,2.31256,0.008713,0.008713,0.008713
15,572.484,1.88002,2.31618,1.97378,0.27781,0.2183,0.16269,0.06882,2.16476,2.60492,2.31235,0.008614,0.008614,0.008614
16,609.726,1.88054,2.29505,1.9713,0.31684,0.24777,0.19739,0.08192,2.19713,2.58401,2.27239,0.008515,0.008515,0.008515
17,646.999,1.88662,2.32988,1.99101,0.31514,0.23571,0.18553,0.07748,2.22141,2.56132,2.28368,0.008416,0.008416,0.008416
18,684.241,1.87163,2.26956,1.96491,0.32469,0.23267,0.20059,0.08765,2.13857,2.51014,2.29287,0.008317,0.008317,0.008317
19,721.467,1.85949,2.27821,1.9642,0.33591,0.25491,0.2119,0.09346,2.1727,2.48311,2.27054,0.008218,0.008218,0.008218
20,758.983,1.86712,2.27151,1.95515,0.2756,0.23214,0.16149,0.06068,2.17508,2.81483,2.20249,0.008119,0.008119,0.008119
21,796.14,1.86604,2.26238,1.96237,0.25035,0.19575,0.14885,0.07151,2.18441,2.74347,2.33698,0.00802,0.00802,0.00802
22,833.3,1.81671,2.23946,1.92229,0.33957,0.22634,0.20306,0.09027,2.1265,2.48867,2.23239,0.007921,0.007921,0.007921
23,870.52,1.83263,2.23461,1.93549,0.34266,0.25925,0.21729,0.09493,2.14325,2.46478,2.21904,0.007822,0.007822,0.007822
24,907.824,1.8497,2.2338,1.943,0.3388,0.2692,0.22184,0.08781,2.16573,2.46336,2.19676,0.007723,0.007723,0.007723
25,945.207,1.82661,2.23302,1.93882,0.34081,0.25758,0.20447,0.08249,2.18882,2.53728,2.20926,0.007624,0.007624,0.007624
26,982.614,1.79367,2.19327,1.9111,0.35264,0.25714,0.22951,0.10195,2.09199,2.41538,2.20287,0.007525,0.007525,0.007525
27,1019.96,1.8138,2.18055,1.90623,0.37813,0.275,0.23987,0.09647,2.11176,2.42188,2.16299,0.007426,0.007426,0.007426
28,1056.99,1.78455,2.16947,1.89771,0.36039,0.27054,0.23345,0.10401,2.0907,2.40842,2.18009,0.007327,0.007327,0.007327
29,1094.21,1.79793,2.20119,1.91368,0.36257,0.25848,0.22741,0.10242,2.06227,2.43859,2.18998,0.007228,0.007228,0.007228
30,1131.46,1.78,2.18296,1.89104,0.32774,0.25029,0.20738,0.08662,2.08149,2.55805,2.14812,0.007129,0.007129,0.007129
31,1168.59,1.80094,2.18515,1.89293,0.37889,0.27187,0.24359,0.10752,2.04696,2.37105,2.13714,0.00703,0.00703,0.00703
32,1205.8,1.7893,2.16759,1.90116,0.36802,0.27401,0.2485,0.10767,2.08769,2.39687,2.13158,0.006931,0.006931,0.006931
33,1243.2,1.78196,2.16637,1.89063,0.29454,0.28616,0.19599,0.07222,2.10511,2.54664,2.13067,0.006832,0.006832,0.006832
34,1280.56,1.79844,2.13356,1.88285,0.33596,0.24509,0.20812,0.0909,2.11644,2.46892,2.15136,0.006733,0.006733,0.006733
35,1318,1.78041,2.15163,1.88933,0.37399,0.27857,0.25858,0.11191,2.09465,2.33893,2.14036,0.006634,0.006634,0.006634
36,1355.37,1.77409,2.1503,1.88506,0.37085,0.26786,0.23513,0.0971,2.13145,2.43261,2.14219,0.006535,0.006535,0.006535
37,1392.36,1.78043,2.14953,1.88616,0.39638,0.28125,0.25554,0.11712,2.03925,2.33122,2.11442,0.006436,0.006436,0.006436
38,1429.65,1.74111,2.11549,1.86876,0.39988,0.28214,0.26571,0.11651,2.0597,2.33694,2.11799,0.006337,0.006337,0.006337
39,1466.96,1.77065,2.13449,1.8737,0.41733,0.25179,0.24966,0.11369,2.0717,2.3381,2.16783,0.006238,0.006238,0.006238
40,1504.31,1.74678,2.09832,1.8639,0.38636,0.30076,0.27519,0.11861,2.05592,2.30915,2.10411,0.006139,0.006139,0.006139
41,1541.52,1.75022,2.12118,1.86328,0.41478,0.27781,0.26359,0.11486,2.08758,2.33734,2.15322,0.00604,0.00604,0.00604
42,1578.69,1.7594,2.10275,1.86,0.39166,0.30093,0.26602,0.11502,2.04547,2.36565,2.06303,0.005941,0.005941,0.005941
43,1615.96,1.72569,2.08736,1.84101,0.39085,0.30907,0.27644,0.11884,2.0563,2.28249,2.06944,0.005842,0.005842,0.005842
44,1653.34,1.73056,2.08187,1.84393,0.36838,0.27232,0.24936,0.11537,2.01685,2.31354,2.1017,0.005743,0.005743,0.005743
45,1690.52,1.75898,2.08782,1.85409,0.44615,0.27902,0.2753,0.12105,2.02482,2.29813,2.08251,0.005644,0.005644,0.005644
46,1727.73,1.73887,2.0762,1.85096,0.39262,0.30089,0.27802,0.12567,2.0332,2.28473,2.08094,0.005545,0.005545,0.005545
47,1764.95,1.75975,2.08027,1.85471,0.40825,0.29598,0.28497,0.12373,2.05204,2.2766,2.07312,0.005446,0.005446,0.005446
48,1802.01,1.74133,2.08338,1.8536,0.43087,0.27991,0.27296,0.12361,2.04308,2.30831,2.13476,0.005347,0.005347,0.005347
49,1839,1.74221,2.07363,1.84002,0.38658,0.27545,0.2593,0.1191,2.02918,2.30471,2.07238,0.005248,0.005248,0.005248
50,1875.61,1.74685,2.07109,1.8451,0.40696,0.28616,0.2721,0.12607,2.00418,2.27288,2.09203,0.005149,0.005149,0.005149
51,1912.17,1.71427,2.05517,1.84465,0.39111,0.29152,0.28081,0.1247,2.01697,2.27787,2.09079,0.00505,0.00505,0.00505
